attraction_name,city,entry_fee,timings,category
Water Kingdom,Mumbai,1360,10:00 AM - 7:00 PM,Amusement Park
Film City Mumbai,Mumbai,1500,10:00 AM - 7:00 PM,Amusement Park
Aksa Beach,Mumbai,0,6:00 AM - 7:00 PM,Beach
Gorai Beach,Mumbai,0,6:00 AM - 7:00 PM,Beach
Khotachiwadi,Mumbai,110,9:00 AM - 6:00 PM,Attraction
Banganga Tank,Mumbai,90,9:00 AM - 6:00 PM,Attraction
Rajabai Clock Tower,Mumbai,140,9:00 AM - 5:30 PM,Heritage
Victoria Memorial,Kolkata,180,9:00 AM - 5:30 PM,Heritage
Howrah Bridge,Kolkata,100,9:00 AM - 5:30 PM,Heritage
Indian Museum,Kolkata,160,10:00 AM - 5:30 PM,Museum
St Paul's Cathedral,Kolkata,40,5:00 AM - 9:00 PM,Religious
St John's Church,Kolkata,30,5:00 AM - 9:00 PM,Religious
Dakshineswar Kali Temple,Kolkata,40,5:00 AM - 9:00 PM,Religious
Kalighat Kali Temple,Kolkata,40,5:00 AM - 9:00 PM,Religious
Belur Math,Kolkata,0,5:00 AM - 9:00 PM,Religious
Marble Palace,Kolkata,200,9:00 AM - 5:30 PM,Heritage
Birla Planetarium Kolkata,Kolkata,100,10:00 AM - 5:30 PM,Museum
Science City Kolkata,Kolkata,70,10:00 AM - 5:30 PM,Museum
M.P. Birla Planetarium,Kolkata,40,10:00 AM - 5:30 PM,Museum
Alipore Zoological Gardens,Kolkata,500,7:00 AM - 5:30 PM,Wildlife
Maidan,Kolkata,100,9:00 AM - 6:00 PM,Attraction
Prinsep Ghat,Kolkata,120,9:00 AM - 6:00 PM,Attraction
Babughat,Kolkata,30,9:00 AM - 6:00 PM,Attraction
Eden Gardens,Kolkata,90,6:00 AM - 6:00 PM,Nature
Mother House,Kolkata,80,9:00 AM - 6:00 PM,Attraction
Tagore House,Kolkata,90,9:00 AM - 6:00 PM,Attraction
Jorasanko Thakur Bari,Kolkata,40,9:00 AM - 6:00 PM,Attraction
National Library of India,Kolkata,90,9:00 AM - 6:00 PM,Attraction
Academy of Fine Arts,Kolkata,50,9:00 AM - 6:00 PM,Attraction
Birla Mandir Kolkata,Kolkata,0,5:00 AM - 9:00 PM,Religious
Raj Bhavan Kolkata,Kolkata,120,9:00 AM - 6:00 PM,Attraction
Fort William Kolkata,Kolkata,160,9:00 AM - 5:30 PM,Heritage
Nicco Park,Kolkata,1260,10:00 AM - 7:00 PM,Amusement Park
Eco Park Kolkata,Kolkata,70,6:00 AM - 6:00 PM,Nature
Millennium Park,Kolkata,80,6:00 AM - 6:00 PM,Nature
Indian Botanical Garden,Kolkata,40,6:00 AM - 6:00 PM,Nature
Kolkata Race Course,Kolkata,100,9:00 AM - 6:00 PM,Attraction
Nakhoda Mosque,Kolkata,30,5:00 AM - 9:00 PM,Religious
St Thomas Church Kolkata,Kolkata,50,5:00 AM - 9:00 PM,Religious
South Park Street Cemetery,Kolkata,40,6:00 AM - 6:00 PM,Nature
Writers' Building,Kolkata,190,9:00 AM - 5:30 PM,Heritage
BBD Bagh,Kolkata,140,9:00 AM - 6:00 PM,Attraction
New Town Eco Park,Kolkata,100,6:00 AM - 6:00 PM,Nature
Kolkata Marble Palace,Kolkata,180,9:00 AM - 5:30 PM,Heritage
Rabindra Sarobar,Kolkata,130,9:00 AM - 6:00 PM,Attraction
Birla Industrial and Technological Museum,Kolkata,180,10:00 AM - 5:30 PM,Museum
Netaji Bhawan,Kolkata,140,9:00 AM - 6:00 PM,Attraction
Marina Beach,Chennai,0,6:00 AM - 7:00 PM,Beach
Kapaleeshwarar Temple,Chennai,30,5:00 AM - 9:00 PM,Religious
Fort St George,Chennai,150,9:00 AM - 5:30 PM,Heritage
Government Museum Chennai,Chennai,90,10:00 AM - 5:30 PM,Museum
San Thome Basilica,Chennai,20,5:00 AM - 9:00 PM,Religious
Guindy National Park,Chennai,220,7:00 AM - 5:30 PM,Wildlife
Arignar Anna Zoological Park,Chennai,50,7:00 AM - 5:30 PM,Wildlife
Valluvar Kottam,Chennai,20,9:00 AM - 6:00 PM,Attraction
Sri Parthasarathy Temple,Chennai,10,5:00 AM - 9:00 PM,Religious
Ashtalakshmi Temple,Chennai,50,5:00 AM - 9:00 PM,Religious
Vadapalani Murugan Temple,Chennai,40,5:00 AM - 9:00 PM,Religious
Shirdi Sai Baba Temple Mylapore,Chennai,30,5:00 AM - 9:00 PM,Religious
St Thomas Mount,Chennai,140,9:00 AM - 6:00 PM,Attraction
Chennai Lighthouse,Chennai,100,9:00 AM - 6:00 PM,Attraction
Elliot's Beach,Chennai,0,6:00 AM - 7:00 PM,Beach
Besant Nagar Beach,Chennai,0,6:00 AM - 7:00 PM,Beach
Semmozhi Poonga,Chennai,90,9:00 AM - 6:00 PM,Attraction
Birla Planetarium Chennai,Chennai,140,10:00 AM - 5:30 PM,Museum
Madras Crocodile Bank,Chennai,50,9:00 AM - 6:00 PM,Attraction
DakshinaChitra,Chennai,60,9:00 AM - 6:00 PM,Attraction
Muttukadu Boat House,Chennai,130,9:00 AM - 6:00 PM,Attraction
MGR Memorial,Chennai,170,9:00 AM - 5:30 PM,Heritage
Anna Memorial,Chennai,160,9:00 AM - 5:30 PM,Heritage
Vivekananda House,Chennai,100,9:00 AM - 6:00 PM,Attraction
National Art Gallery Chennai,Chennai,180,10:00 AM - 5:30 PM,Museum
Kalakshetra Foundation,Chennai,140,9:00 AM - 6:00 PM,Attraction
Cholamandal Artists' Village,Chennai,80,9:00 AM - 6:00 PM,Attraction
Arignar Anna Memorial,Chennai,190,9:00 AM - 5:30 PM,Heritage
Ripon Building,Chennai,30,9:00 AM - 5:30 PM,Heritage
Theosophical Society Adyar,Chennai,150,9:00 AM - 6:00 PM,Attraction
Broken Bridge Chennai,Chennai,110,9:00 AM - 5:30 PM,Heritage
Kishkinta Theme Park,Chennai,800,10:00 AM - 7:00 PM,Amusement Park
VGP Universal Kingdom,Chennai,980,10:00 AM - 7:00 PM,Amusement Park
VGP Marine Kingdom,Chennai,1430,10:00 AM - 7:00 PM,Amusement Park
Queens Land,Chennai,30,9:00 AM - 6:00 PM,Attraction
Chennai Rail Museum,Chennai,170,10:00 AM - 5:30 PM,Museum
Chennai Snake Park,Chennai,80,6:00 AM - 6:00 PM,Nature
Madras War Cemetery,Chennai,60,9:00 AM - 6:00 PM,Attraction
Mylapore Tank,Chennai,90,9:00 AM - 6:00 PM,Attraction
San Thome Cathedral,Chennai,10,5:00 AM - 9:00 PM,Religious
Bangalore Palace,Bengaluru,150,9:00 AM - 5:30 PM,Heritage
Lalbagh Botanical Garden,Bengaluru,70,6:00 AM - 6:00 PM,Nature
Cubbon Park,Bengaluru,10,6:00 AM - 6:00 PM,Nature
Vidhana Soudha,Bengaluru,120,9:00 AM - 6:00 PM,Attraction
ISKCON Temple Bangalore,Bengaluru,20,5:00 AM - 9:00 PM,Religious
Bannerghatta Biological Park,Bengaluru,70,6:00 AM - 6:00 PM,Nature
Tipu Sultan's Summer Palace,Bengaluru,130,9:00 AM - 5:30 PM,Heritage
Bangalore Fort,Bengaluru,50,9:00 AM - 5:30 PM,Heritage
Ulsoor Lake,Bengaluru,30,6:00 AM - 6:00 PM,Nature
Bull Temple,Bengaluru,50,5:00 AM - 9:00 PM,Religious
Visvesvaraya Industrial and Technological Museum,Bengaluru,160,10:00 AM - 5:30 PM,Museum
Jawaharlal Nehru Planetarium Bengaluru,Bengaluru,70,10:00 AM - 5:30 PM,Museum
National Gallery of Modern Art Bengaluru,Bengaluru,170,10:00 AM - 5:30 PM,Museum
HAL Aerospace Museum,Bengaluru,30,10:00 AM - 5:30 PM,Museum
Karnataka Chitrakala Parishath,Bengaluru,30,9:00 AM - 6:00 PM,Attraction
Wonderla Bengaluru,Bengaluru,400,10:00 AM - 7:00 PM,Amusement Park
Innovative Film City,Bengaluru,970,10:00 AM - 7:00 PM,Amusement Park
Commercial Street,Bengaluru,110,9:00 AM - 6:00 PM,Attraction
MG Road Bengaluru,Bengaluru,0,10:00 AM - 10:00 PM,Shopping
Church Street Bengaluru,Bengaluru,40,5:00 AM - 9:00 PM,Religious
Freedom Park Bengaluru,Bengaluru,10,6:00 AM - 6:00 PM,Nature
Bugle Rock Park,Bengaluru,90,6:00 AM - 6:00 PM,Nature
Sankey Tank,Bengaluru,140,9:00 AM - 6:00 PM,Attraction
Lumbini Gardens,Bengaluru,30,6:00 AM - 6:00 PM,Nature
Snow City Bengaluru,Bengaluru,50,9:00 AM - 6:00 PM,Attraction
Bangalore Aquarium,Bengaluru,30,9:00 AM - 6:00 PM,Attraction
St Mary's Basilica Bengaluru,Bengaluru,40,5:00 AM - 9:00 PM,Religious
Dodda Ganapathi Temple,Bengaluru,0,5:00 AM - 9:00 PM,Religious
Sri Someshwara Temple,Bengaluru,40,5:00 AM - 9:00 PM,Religious
Agara Lake,Bengaluru,40,6:00 AM - 6:00 PM,Nature
Kaikondrahalli Lake,Bengaluru,100,6:00 AM - 6:00 PM,Nature
Nandi Hills,Bengaluru,100,6:00 AM - 6:00 PM,Nature
Devanahalli Fort,Bengaluru,130,9:00 AM - 5:30 PM,Heritage
Nrityagram,Bengaluru,40,9:00 AM - 6:00 PM,Attraction
Art of Living International Center,Bengaluru,20,9:00 AM - 6:00 PM,Attraction
Shivoham Shiva Temple,Bengaluru,20,5:00 AM - 9:00 PM,Religious
Jawaharlal Nehru Biological Park,Bengaluru,100,6:00 AM - 6:00 PM,Nature
Muthyala Maduvu,Bengaluru,110,9:00 AM - 6:00 PM,Attraction
Bannerghatta Butterfly Park,Bengaluru,90,6:00 AM - 6:00 PM,Nature
Karnataka Folk Museum,Bengaluru,180,10:00 AM - 5:30 PM,Museum
Charminar,Hyderabad,130,9:00 AM - 6:00 PM,Attraction
Golconda Fort,Hyderabad,60,9:00 AM - 5:30 PM,Heritage
Salar Jung Museum,Hyderabad,200,10:00 AM - 5:30 PM,Museum
Chowmahalla Palace,Hyderabad,90,9:00 AM - 5:30 PM,Heritage
Qutb Shahi Tombs,Hyderabad,170,9:00 AM - 5:30 PM,Heritage
Hussain Sagar Lake,Hyderabad,90,6:00 AM - 6:00 PM,Nature
Birla Mandir Hyderabad,Hyderabad,10,5:00 AM - 9:00 PM,Religious
Birla Science Centre,Hyderabad,190,10:00 AM - 5:30 PM,Museum
Nehru Zoological Park,Hyderabad,230,7:00 AM - 5:30 PM,Wildlife
Ramoji Film City,Hyderabad,500,10:00 AM - 7:00 PM,Amusement Park
NTR Gardens,Hyderabad,60,6:00 AM - 6:00 PM,Nature
Lumbini Park Hyderabad,Hyderabad,100,6:00 AM - 6:00 PM,Nature
Snow World Hyderabad,Hyderabad,40,9:00 AM - 6:00 PM,Attraction
Shilparamam,Hyderabad,40,9:00 AM - 6:00 PM,Attraction
Durgam Cheruvu,Hyderabad,140,9:00 AM - 6:00 PM,Attraction
Statue of Equality,Hyderabad,140,9:00 AM - 6:00 PM,Attraction
Mecca Masjid,Hyderabad,110,9:00 AM - 6:00 PM,Attraction
Purani Haveli,Hyderabad,60,9:00 AM - 6:00 PM,Attraction
Taramati Baradari,Hyderabad,100,9:00 AM - 6:00 PM,Attraction
Paigah Tombs,Hyderabad,150,9:00 AM - 5:30 PM,Heritage
Chilkur Balaji Temple,Hyderabad,30,5:00 AM - 9:00 PM,Religious
Keesaragutta Temple,Hyderabad,10,5:00 AM - 9:00 PM,Religious
Osmania University,Hyderabad,100,9:00 AM - 6:00 PM,Attraction
Nizam's Museum,Hyderabad,90,10:00 AM - 5:30 PM,Museum
Telangana State Archaeology Museum,Hyderabad,150,10:00 AM - 5:30 PM,Museum
Laad Bazaar,Hyderabad,0,10:00 AM - 10:00 PM,Shopping
Tank Bund,Hyderabad,20,9:00 AM - 6:00 PM,Attraction
Necklace Road,Hyderabad,0,10:00 AM - 10:00 PM,Shopping
Kasu Brahmananda Reddy National Park,Hyderabad,110,7:00 AM - 5:30 PM,Wildlife
Mrugavani National Park,Hyderabad,290,7:00 AM - 5:30 PM,Wildlife
Mahavir Harina Vanasthali National Park,Hyderabad,90,7:00 AM - 5:30 PM,Wildlife
Wonderla Hyderabad,Hyderabad,460,10:00 AM - 7:00 PM,Amusement Park
Ocean Park Hyderabad,Hyderabad,50,6:00 AM - 6:00 PM,Nature
Mount Opera,Hyderabad,120,9:00 AM - 6:00 PM,Attraction
Ananthagiri Hills,Hyderabad,50,6:00 AM - 6:00 PM,Nature
Kondapur Botanical Garden,Hyderabad,0,6:00 AM - 6:00 PM,Nature
Khajaguda Hills,Hyderabad,0,6:00 AM - 6:00 PM,Nature
Shamirpet Lake,Hyderabad,80,6:00 AM - 6:00 PM,Nature
Durgam Cheruvu Cable Bridge,Hyderabad,170,9:00 AM - 5:30 PM,Heritage
NTR Statue,Hyderabad,70,9:00 AM - 6:00 PM,Attraction
Shaniwar Wada,Pune,120,9:00 AM - 6:00 PM,Attraction
Aga Khan Palace,Pune,110,9:00 AM - 5:30 PM,Heritage
Sinhagad Fort,Pune,160,9:00 AM - 5:30 PM,Heritage
Pataleshwar Cave Temple,Pune,20,5:00 AM - 9:00 PM,Religious
Dagdusheth Halwai Ganpati Temple,Pune,0,5:00 AM - 9:00 PM,Religious
Raja Dinkar Kelkar Museum,Pune,180,10:00 AM - 5:30 PM,Museum
Pune Okayama Friendship Garden,Pune,70,6:00 AM - 6:00 PM,Nature
Lal Mahal,Pune,110,9:00 AM - 6:00 PM,Attraction
Parvati Hill,Pune,90,6:00 AM - 6:00 PM,Nature
Bund Garden,Pune,20,6:00 AM - 6:00 PM,Nature
Osho Garden,Pune,20,6:00 AM - 6:00 PM,Nature
Empress Garden,Pune,90,6:00 AM - 6:00 PM,Nature
Peshwa Udyan,Pune,100,9:00 AM - 6:00 PM,Attraction
National Defence Academy,Pune,50,9:00 AM - 6:00 PM,Attraction
Joshi's Museum of Miniature Railways,Pune,160,10:00 AM - 5:30 PM,Museum
Tribal Museum Pune,Pune,130,10:00 AM - 5:30 PM,Museum
Peshwa Museum,Pune,170,10:00 AM - 5:30 PM,Museum
Saras Baug,Pune,110,9:00 AM - 6:00 PM,Attraction
Vetal Hill,Pune,30,6:00 AM - 6:00 PM,Nature
Khadakwasla Dam,Pune,100,6:00 AM - 6:00 PM,Nature
Mulshi Lake,Pune,10,6:00 AM - 6:00 PM,Nature
Lonavala,Pune,100,9:00 AM - 6:00 PM,Attraction
Karla Caves,Pune,140,9:00 AM - 5:30 PM,Heritage
Bhaja Caves,Pune,30,9:00 AM - 5:30 PM,Heritage
Lohagad Fort,Pune,80,9:00 AM - 5:30 PM,Heritage
Visapur Fort,Pune,70,9:00 AM - 5:30 PM,Heritage
Rajmachi Fort,Pune,30,9:00 AM - 5:30 PM,Heritage
Torna Fort,Pune,190,9:00 AM - 5:30 PM,Heritage
Rajgad Fort,Pune,30,9:00 AM - 5:30 PM,Heritage
Purandar Fort,Pune,160,9:00 AM - 5:30 PM,Heritage
Duke's Nose,Pune,150,9:00 AM - 6:00 PM,Attraction
Tiger Point Lonavala,Pune,140,9:00 AM - 6:00 PM,Attraction
Bhushi Dam,Pune,100,6:00 AM - 6:00 PM,Nature
Kamshet,Pune,50,9:00 AM - 6:00 PM,Attraction
Pawna Lake,Pune,70,6:00 AM - 6:00 PM,Nature
Tikona Fort,Pune,20,9:00 AM - 5:30 PM,Heritage
Bedse Caves,Pune,60,9:00 AM - 5:30 PM,Heritage
Bhimashankar Temple,Pune,50,5:00 AM - 9:00 PM,Religious
Bhimashankar Wildlife Sanctuary,Pune,380,7:00 AM - 5:30 PM,Wildlife
Lavasa,Pune,50,9:00 AM - 6:00 PM,Attraction
Amber Fort,Jaipur,180,9:00 AM - 5:30 PM,Heritage
Hawa Mahal,Jaipur,40,9:00 AM - 6:00 PM,Attraction
City Palace Jaipur,Jaipur,70,9:00 AM - 5:30 PM,Heritage
Jantar Mantar Jaipur,Jaipur,120,9:00 AM - 6:00 PM,Attraction
Nahargarh Fort,Jaipur,70,9:00 AM - 5:30 PM,Heritage
Jaigarh Fort,Jaipur,140,9:00 AM - 5:30 PM,Heritage
Albert Hall Museum,Jaipur,110,10:00 AM - 5:30 PM,Museum
Jal Mahal,Jaipur,80,9:00 AM - 6:00 PM,Attraction
Birla Mandir Jaipur,Jaipur,40,5:00 AM - 9:00 PM,Religious
Galtaji Temple,Jaipur,30,5:00 AM - 9:00 PM,Religious
Govind Dev Ji Temple,Jaipur,0,5:00 AM - 9:00 PM,Religious
Moti Dungri Ganesh Temple,Jaipur,30,5:00 AM - 9:00 PM,Religious
Sisodia Rani Garden,Jaipur,40,6:00 AM - 6:00 PM,Nature
Vidyadhar Garden,Jaipur,20,6:00 AM - 6:00 PM,Nature
Central Park Jaipur,Jaipur,50,6:00 AM - 6:00 PM,Nature
Ram Niwas Garden,Jaipur,20,6:00 AM - 6:00 PM,Nature
Anokhi Museum,Jaipur,110,10:00 AM - 5:30 PM,Museum
Jaipur Wax Museum,Jaipur,170,10:00 AM - 5:30 PM,Museum
Amrapali Museum,Jaipur,180,10:00 AM - 5:30 PM,Museum
Dera Amer,Jaipur,140,9:00 AM - 6:00 PM,Attraction
Chokhi Dhani,Jaipur,150,9:00 AM - 6:00 PM,Attraction
Nahargarh Biological Park,Jaipur,60,6:00 AM - 6:00 PM,Nature
Jaigarh Elephant Safari,Jaipur,60,9:00 AM - 6:00 PM,Attraction
Gaitor Ki Chhatriyan,Jaipur,90,9:00 AM - 6:00 PM,Attraction
Panna Meena Ka Kund,Jaipur,40,9:00 AM - 6:00 PM,Attraction
Isarlat Sargasooli,Jaipur,70,9:00 AM - 6:00 PM,Attraction
City Palace Museum,Jaipur,180,9:00 AM - 5:30 PM,Heritage
Jawahar Circle,Jaipur,90,9:00 AM - 6:00 PM,Attraction
World Trade Park Jaipur,Jaipur,70,6:00 AM - 6:00 PM,Nature
Patrika Gate,Jaipur,50,9:00 AM - 5:30 PM,Heritage
Raj Mandir Cinema,Jaipur,40,5:00 AM - 9:00 PM,Religious
Jantar Mantar Observatory,Jaipur,140,9:00 AM - 6:00 PM,Attraction
Kanak Vrindavan Garden,Jaipur,80,6:00 AM - 6:00 PM,Nature
Garh Ganesh Temple,Jaipur,20,5:00 AM - 9:00 PM,Religious
Khole Ke Hanuman Ji Temple,Jaipur,0,5:00 AM - 9:00 PM,Religious
Maharaniyon Ki Chhatriyan,Jaipur,150,9:00 AM - 6:00 PM,Attraction
Sisodia Rani Palace and Garden,Jaipur,80,9:00 AM - 5:30 PM,Heritage
Digamber Jain Temple Jaipur,Jaipur,10,5:00 AM - 9:00 PM,Religious
Ramgarh Lake,Jaipur,0,6:00 AM - 6:00 PM,Nature
Samode Palace,Jaipur,40,9:00 AM - 5:30 PM,Heritage
City Palace Udaipur,Udaipur,160,9:00 AM - 5:30 PM,Heritage
Lake Pichola,Udaipur,100,6:00 AM - 6:00 PM,Nature
Jag Mandir,Udaipur,20,5:00 AM - 9:00 PM,Religious
Jagdish Temple,Udaipur,30,5:00 AM - 9:00 PM,Religious
Saheliyon Ki Bari,Udaipur,100,9:00 AM - 6:00 PM,Attraction
Fateh Sagar Lake,Udaipur,100,6:00 AM - 6:00 PM,Nature
Monsoon Palace,Udaipur,70,9:00 AM - 5:30 PM,Heritage
Bagore Ki Haveli,Udaipur,20,9:00 AM - 6:00 PM,Attraction
Vintage and Classic Car Museum,Udaipur,140,10:00 AM - 5:30 PM,Museum
Maharana Pratap Memorial,Udaipur,70,9:00 AM - 5:30 PM,Heritage
Shilpgram Udaipur,Udaipur,70,9:00 AM - 6:00 PM,Attraction
Doodh Talai,Udaipur,100,9:00 AM - 6:00 PM,Attraction
Karni Mata Temple Udaipur,Udaipur,50,5:00 AM - 9:00 PM,Religious
Gulab Bagh,Udaipur,110,9:00 AM - 6:00 PM,Attraction
Sajjangarh Wildlife Sanctuary,Udaipur,390,7:00 AM - 5:30 PM,Wildlife
Ahar Cenotaphs,Udaipur,50,9:00 AM - 6:00 PM,Attraction
Bharatiya Lok Kala Mandal,Udaipur,30,9:00 AM - 6:00 PM,Attraction
Moti Magri,Udaipur,110,9:00 AM - 6:00 PM,Attraction
Nehru Garden,Udaipur,40,6:00 AM - 6:00 PM,Nature
Badi Lake,Udaipur,80,6:00 AM - 6:00 PM,Nature
Sukhadia Circle,Udaipur,140,9:00 AM - 6:00 PM,Attraction
Ambrai Ghat,Udaipur,110,9:00 AM - 6:00 PM,Attraction
Gangaur Ghat,Udaipur,130,9:00 AM - 6:00 PM,Attraction
Dharohar Folk Dance,Udaipur,50,9:00 AM - 6:00 PM,Attraction
Badi Lake View Point,Udaipur,90,6:00 AM - 6:00 PM,Nature
Eklingji Temple,Udaipur,20,5:00 AM - 9:00 PM,Religious
Sas-Bahu Temple Nagda,Udaipur,40,5:00 AM - 9:00 PM,Religious
Haldighati,Udaipur,60,9:00 AM - 6:00 PM,Attraction
Chetak Smarak,Udaipur,120,9:00 AM - 6:00 PM,Attraction
Ranakpur Jain Temple,Udaipur,40,5:00 AM - 9:00 PM,Religious
Kumbhalgarh Fort,Udaipur,60,9:00 AM - 5:30 PM,Heritage
Kumbhalgarh Wildlife Sanctuary,Udaipur,110,7:00 AM - 5:30 PM,Wildlife
Jaisamand Lake,Udaipur,40,6:00 AM - 6:00 PM,Nature
Jaisamand Wildlife Sanctuary,Udaipur,110,7:00 AM - 5:30 PM,Wildlife
Menar Bird Village,Udaipur,320,7:00 AM - 5:30 PM,Wildlife
Nathdwara Temple,Udaipur,10,5:00 AM - 9:00 PM,Religious
Rajsamand Lake,Udaipur,10,6:00 AM - 6:00 PM,Nature
Gogunda,Udaipur,120,9:00 AM - 6:00 PM,Attraction
Maharana Pratap Airport Viewpoint,Udaipur,20,9:00 AM - 6:00 PM,Attraction
Dabok,Udaipur,140,9:00 AM - 6:00 PM,Attraction
Taj Mahal,Agra,70,9:00 AM - 6:00 PM,Attraction
Agra Fort,Agra,70,9:00 AM - 5:30 PM,Heritage
Fatehpur Sikri,Agra,120,9:00 AM - 6:00 PM,Attraction
Itmad-ud-Daulah's Tomb,Agra,50,9:00 AM - 5:30 PM,Heritage
Mehtab Bagh,Agra,100,9:00 AM - 6:00 PM,Attraction
Akbar's Tomb,Agra,120,9:00 AM - 5:30 PM,Heritage
